person_name,memorial_name,route_clean,COUNTY,CITY
St Se,14Th St Se,SH-402,Larimer Co,Loveland
Broadway,Broadway,SH-340,Mesa Co,Grand Junction
Camino Del Rio,Camino Del Rio,US-550,La Plata Co,Durango
Co-115,Co-115,SH-115,El Paso Co,
Co-149,Co-149,SH-149,Gunnison Co,
Co-239,Co-239,SH-239,Las Animas Co,
Co-69 At,Co-69 At,SH-69,Custer Co,Westcliffe
Diagonal Hwy,Diagonal Hwy,SH-119,Boulder Co,
E Fountain Blvd,E Fountain Blvd,US-24,El Paso Co,Colorado Springs
I-70 And Us-287,I-70 And Us-287,I-70,Arapahoe Co,
N Powers Blvd,N Powers Blvd,SH-21,El Paso Co,Colorado Springs
N St Vrain,N St Vrain Dr,US-36,Larimer Co,
S Main St,S Main St,US-287,Prowers Co,Lamar
S Powers Blvd,S Powers Blvd,SH-21,El Paso Co,Colorado Springs
S Santa Fe,S Santa Fe Dr,US-85,Denver Co; Douglas Co,Denver
Us-138,Us-138,US-138,Logan Co,
Us-287,Us-287,US-287,Larimer Co; Prowers Co,
W Colfax Ave,W Colfax Ave,US-40,Denver Co,Denver
W Hampden Ave,W Hampden Ave,US-285,Arapahoe Co,Englewood
