State,Name,Memorial_URL,Parsed_Name,Birth_Year,Death_Year,Match_Score
Utah,Ram Boulevard Memorial Highway,https://www.findagrave.com/memorial/259168929/r-highway,R. Highway (unknown-1801) - Find a Grave Memorial,18.0,,0.23013698630136983
Utah,Mike Dmitrich,https://www.findagrave.com/memorial/275224421/mike-dmitrich,Mike Dmitrich (1936-2024) - Find a Grave Memorial,19.0,20.0,0.469298245614035
Utah,Pete Suazo,https://www.findagrave.com/memorial/286838845/pete-andrew-suazo,Pete Andrew Suazo (1956-2025) - Find a Grave...,19.0,20.0,0.2857142857142857
Utah,Pioneer Trail Memorial Memorial Highway,https://www.findagrave.com/memorial/83823124/hattie-lynn,Hattie Gregory Lynn (1902-1974) - Find a Grave...,19.0,19.0,0.12249999999999998
Utah,Dinosaur Diamond Prehistoric Memorial Highway,https://www.findagrave.com/memorial/73562014/simpson-nix,Simpson Socrates Nix (1841-1925) - Find a Grave...,18.0,19.0,0.17701149425287357
Utah,I-15 designated as Veterans' Memorial Memorial Highway,https://www.findagrave.com/memorial/59350984/samuel-behn,Samuel Edward Behn (1916-1988) - Find a Grave...,19.0,19.0,0.1217391304347826
Utah,The Purple Heart Trail Memorial Highway,https://www.findagrave.com/memorial/13811410/joseph-heimel,SSGT Joseph Paul “Joe” Heimel (1918-2004) - Find a...,19.0,20.0,0.25609756097560976
Utah,Legacy Loop Memorial Highway,https://www.findagrave.com/memorial/12801180/john-pallotta,John Scott “Nicky Hammerhead” Pallotta (1960-1992)...,19.0,19.0,0.11506849315068492
Utah,Utah National Parks Memorial Highway,,,,,0.0
Utah,Tenth Mountain Division Memorial Memorial Highway,,,,,0.0
Utah,The Utah Fruitway Memorial Highway,,,,,0.0
Utah,K. Gunn McKay,,,,,0.0
Utah,James V. Hansen,,,,,0.0
Utah,Mormon Pioneer Heritage Area Memorial Highway,,,,,0.0
Utah,Cory B. Wride,,,,,0.0
Utah,Vietnam Veterans Memorial Memorial Highway,,,,,0.0
Utah,Minuteman Memorial Highway,,,,,0.0
Utah,Chief Special Warfare Operator (SEAL) Jason R. Workman Memorial Bridge Memorial Highway,,,,,0.0
Utah,Navajo Code Talker Memorial Highway,,,,,0.0
Utah,Grand Army of the Republic Memorial Highway,,,,,0.0
Utah,Golden Spike/Lincoln,,,,,0.0
Utah,Jake Garn,,,,,0.0
Utah,Borgstrom Brothers,,,,,0.0
